e.g.,Exempli Gratia OR Example Given
i.e.,Id Est OR In Effect
NASA,National Acronautics and Space Administration
DNA,Deoxyribo-Nucleic Acid
P.S.,Post Scriptum
A.M./P.M.,Ante Meridian/Post Meridian
ATM,Automated Teller Machine
PIN,Personal Identification Number
URL,Uniform Resource Locator
HTML,HyperText Markup Language
HTTP,HyperText Transfer Protocol
B.C./A.D./C.E.,Before Christ/Anno Domini/Common Era
A.M./F.M.,Amplitude Modulated/Frequency Modulated
USP,Unique Selling Proposition
PDF,Portable Document Format
PNG,Portable Network Graphics
GIF,Graphics Interchange Format
Wi-Fi,Wireless Fidelity
BBC,British Broadcasting Corporation
Cc/Bcc,Carbon Copy/Blind Carbon Copy
SMS,Short Messaging Service
AIDS,Acquired Immune Deficiency Syndrome
ASCII,American Standard Code for Information Interchange
CCTV,Closed Circuit Television
CV,Curriculum Vitae
DJ,Disk Jockey
GPS,Global Positioning System
HIV,Human Immunodeficiency Virus
ICU,Intensive Care Unit
A&E,Accident and Emergency
LCD,Liquid Crystal Display
NGO,Non-Government Organization
SME,Small and Medium-sized Enterprises
IQ,Intelligence Quotient
EQ,Emotional Quotient
MRI Scan,Magnetic Resonance Imaging Scan
SUV,Sports Utility Vehicle
QR Code,Quick Response Code
CAPTCHA,Completely Automated Public Turing test to tell Computers and Humans Apart
UFO,Unidentified Flying Object
GST,Goods and Services Tax
ZIP,Zone Improvement Plan
STEM,Science Technology Engineering and Math
TED,Technology Entertainment and Design
JPEG,Joint Photographic Experts Group
RADAR,RAdio Detection and Ranging
E3,Electronic Entertainment Expo
IoT,Internet of Things
NLP,Natural Language Processing
AR,Augmented REality
AWS,Amazon Web Services
VPN,Virtual Private Network
IP,Internet Protocol
ASMR,Automated Sensory Meridian Response
2FA,2-Factor Authentication
LAMP Stack,Linux Apache MySQL PHP
MEAN Stack,MongoDB Express.js AngularJS Node.js
PSP,PlayStation Portable
