What is the name of the horse-like animal with black and white stripes?,zebra
What is the name of the long sleep some animals go through during the entire winter?,hibernation
What is the name of the rubber object that is hit back and forth by hockey players?,puck
What is the name of the remains of plants and animals that are found in stone?,fossils
Which precious gem is red?,ruby
What is the name of the severe headache that returns periodically and often is accompanied by nausea?,migraine
Who is the author who wrote 'Romeo and Juliet'?,Shakespeare
What is the name of a dried grape?,raisin
What is the name of the comic strip character who eats spinach to increase his strength?,Popeye
What animal runs the fastest?,cheetah
What is the name of the process by which plants make their food?,photosynthesis
What is the name of Dorothy's dog in 'The Wizard of Oz'?,Toto
What is the name of the molten rock that runs down the side of a volcano during an eruption?,lava
What was the name of the supposedly unsinkable ship that sunk on its maiden voyage in 1912?,Titanic
Which sport uses the terms 'gutter' and 'alley'?,bowling
What is the name of a giant ocean wave caused by an earthquake?,tsunami
What is the term for hitting a volleyball down hard into the opponent's court?,spike
What is the name of the villainous captain in the story 'Peter Pan'?,Captain Hook
What was the name of Tarzan's girlfriend?,Jane
What is the last name of the brothers who flew the first airplane at Kitty Hawk?,Wright
What is the name for a medical doctor who specializes in cutting the body?,surgeon
What is the last name of the first person to set foot on the moon?,Armstrong
What is the capital of France?,Paris
What is the name of the crime in which a building or property is purposely set on fire?,arson
What is the name of the short pleated skirt worn by men in Scotland?,kilt
What is the name of an inability to sleep?,insomnia
What is the name for a medical doctor who specializes in diseases of the skin?,dermatologist
What is the name for a cyclone that occurs over land?,tornado
What is the name of the bird that cannot fly and is the largest bird on earth?,ostrich
What is the name of the island-city believed since antiquity to have sunk into the ocean?,Atlantis
What is the name of the lizard that changes its color to match the surroundings?,chameleon
What is the name of the thick layer of fat on a whale?,blubber
What is the name of a young sheep?,lamb
What is the largest planet in the solar system?,Jupiter
What is the name of the navigation instrument used at sea to plot position relative to the magnetic north pole?,compass
What is the name of a dried plum?,prune
In which sport does a rider on horseback hit a ball with his mallet?,polo
What is the name of the legendary one-eyed giant in greek mythology?,Cyclops
What is the name of the poker hand in which all of the cards are of the same suit?,flush
Of which country is Baghdad the capital?,Iraq
What is the name of the liquid portion of whole blood?,plasma
What is the name of the city in Italy that is known for its canals?,Venice
What is the name of the spear like object that is thrown during a track meet?,javelin
Who was the Egyptian queen who joined forces with Mark Antony of Rome?,Cleopatra
What is the last name of the man who showed that lightning is electric?,Franklin
What is the name of deer meat?,venison
What is the name of the large hairy spider that lives near bananas?,tarantula
What is the name of the ocean that is located between Africa and Australia?,Indian
Who is the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,Elvis Presley
What is the name of the crime in which a person purposely betrays his country?,treason
What is the name of the first artificial satellite put in orbit by Russia in 1957?,Sputnik
What brand of cigarette was first to have the flip-top box?,Marlboro
What kind of metal is associated with a 50th wedding anniversary?,gold
Which type of snake do Asian snake-charmers use?,cobra
What is the only liquid metal at room temperature?,mercury
What is the name of the desert people who wander instead of living in one place?,nomads
What is the name of the organ that produces insulin?,pancreas
What is the name of the collar bone?,clavicle
What is the name of the extinct reptiles known as 'terrible lizards'?,dinosaurs
What is the capital of Russia?,Moscow
Which breed of cat has blue eyes?,Siamese
What is the name of the constellation that looks like a flying horse?,Pegasus
What is the name of the kind of cat that spoke to Alice in the story 'Alice's Adventures in Wonderland'?,Cheshire
Who is the man who proposed the theory of relativity?,Albert Einstein
What was the name of King Arthur's sword?,Excalibur
What is the name for the astronomical bodies that enter the Earth's atmosphere?,meteors
What is the longest river in South America?,Amazon
What Italian city was destroyed when Mount Vesuvius erupted in 79 A.D.?,Pompeii
What is the last name of Batman's secret identity in the Batman comics?,Wayne
What is the name of the company that produces 'Kit Kat' candy bars?,Nestle
What is the name of Socrates' most famous student?,Plato
What is the name of the North Star?,Polaris
What is the name of the actress who played 'Mary Poppins'?,Julie Andrews
What is the name of the mountain range in which Mount Everest is located?,Himalayas
What is the unit of sound intensity?,decibel
What is the name of the project which developed the atomic bomb during World War II?,Manhattan
What is the unit of electrical power that refers to a current of one ampere at one volt?,watt
Who is the author of the book '1984'?,George Orwell
Who is John Legend's wife?,Chrissy Teigen
Who is the vocalist of Fall Out Boy?,Patrick Stump
Who is the vocalist of The 1975?,Matthew Healy
Who sang Senorita?,Shawn Mendes and Camila Cabello
Who is Kim Kardashian's husband?,Kanye West
What did Kim and Kanye name their first daughter?,North West
Who is the vocalist of Panic! at the Disco?,Brendon Urie
Who sang 'Redbone' and 'This Is America'?,Childish Gambino
Who sang 'Radioactive' and 'Thunder'?,Imagine Dragons
Who sang 'Ocean Eyes' and 'Bad Guy'?,Billie Eilish
When you click a link and are unexpectedly taken to the 'Never Gonna Give You Up' MV you have been...?,Rickrolled
Which band sang 'Sweater Weather'?,The Neighbourhood
Who is the vocalist of Paramore?,Hayley Williams
Who sang 'Sk8er Boi' and 'Girlfriend'?,Avril Lavigne
Who is the King of Pop?,Michael Jackson
Who is the King of Rock and Roll?,Elvis Presley
